key,name,party
lula,Lula,PT
flavio,Flávio,PL
caiado,Caiado,PSD
renan,Renan,MISSÃO
zema,Zema,NOVO
marcal,Marçal,PRTB
cury,Cury,Avante
ratinho,Ratinho,
gomes,Gomes,
rebelo,Rebelo,
tarcisio,Tarcísio,
samara,Samara,
daciolo,Daciolo,
pimenta,Pimenta,
bolsonaro,Bolsonaro,
dias,Dias,
costa,Costa,
barbosa,Barbosa,
leite,Leite,
michelle,Michelle,
haddad,Haddad,
eduardo,Eduardo,
clariana,Clariana,
grassi,Grassi,
aecio,Aécio,
tebet,Tebet,
lima,Lima,
barbalho,Barbalho,
silva,Silva,
moro,Moro,
alckmin-psb,Alckmin PSB,
tereza,Tereza,
alckmin,Alckmin,
marinho,Marinho,
temer,Temer,
r-filho,R. Filho,
flavio-pl,Flávio PL,
camilo-pt,Camilo PT,
marinho-pl,Marinho PL,
ciro,Ciro,
tereza-c,Tereza C.,
neves,Neves,
nogueira,Nogueira,
ciro-gomes-deixa-o-pdt-e-se-filia-ao-partido-da-social-democracia-brasileira,Ciro Gomes deixa o PDT e se filia ao Partido da Social Democracia Brasileira,PSDB
