key,name,party
eduardo-paes,Eduardo Paes,PSD
douglas-ruas,Douglas Ruas,PL
william-siri,William Siri,PSOL
anthony-garotinho,Anthony Garotinho,
andre-marinho,André Marinho,NOVO
wilson-witzel,Wilson Witzel,
coronel-busnello,Coronel Busnello,MISSÃO
cyro-garcia,Cyro Garcia,PSTU
juliete-pantoja,Juliete Pantoja,UP
luan-monteiro,Luan Monteiro,PCO
bombeiro-rafa-luz,Bombeiro Rafa Luz,MISSÃO
glauber-braga,Glauber Braga,PSOL
andre-ceciliano,André Ceciliano,PT
italo-marsili,Ítalo Marsili,
felipe-curi,Felipe Curi,
