key,name,party
tarcisio,Tarcísio,REP
haddad,Haddad,PT
marcio-franca,Márcio França,PSB
kassab,Kassab,PSD
vera,Vera,PSTU
serra,Serra,PSDB
carlos-machado,Carlos Machado,PCB
vivian-mendes,Vivian Mendes,UP
izadora-dias,Izadora Dias,PCO
kataguiri,Kataguiri,MISSÃO
edjane,Edjane,
d-avila,d'Avila,NOVO
hilton,Hilton,PSOL
padilha,Padilha,PT
manga,Manga,REP
alckmin,Alckmin,PSB
nunes,Nunes,MDB
derrite,Derrite,PL
sabara,Sabará,NOVO
marcal,Marçal,PRTB
prado,Prado,PL
salles,Salles,NOVO
marta,Marta,PT
garcia,Garcia,
