key,name,party
guilherme-derrite,Guilherme Derrite,
ricardo-salles,Ricardo Salles,
marina-silva,Marina Silva,
simone-tebet,Simone Tebet,
paulinho-da-forca,Paulinho da Força,
tebet,Tebet,
marina,Marina,
andre,André,
derrite,Derrite,
salles,Salles,
andre-do-prado,André do Prado,
soninha,Soninha,
maira,Maíra,
marcio,Márcio,
marcio-franca,Márcio França,
geraldo,Geraldo,
dr,Dr.ª,
weller,Weller,
petter,Petter,
ednelson,Ednelson,
mario-frias,Mário Frias,
fernando-haddad,Fernando Haddad,
william,William,
ricardo-mello-araujo,Ricardo Mello Araújo,
baleia-rossi,Baleia Rossi,
guto,Guto,
guilherme-boulos,Guilherme Boulos,
gil-diniz,Gil Diniz,
robson-tuma,Robson Tuma,
rosana-valle,Rosana Valle,
paulo-serra,Paulo Serra,
