id,pollster,start,end,n,moe,source,section,cleitinho,alexandre-kalil,gabriel-azevedo,mateus-simoes,ben-mendes,patrus-ananias,flavio-roscoe,vittorio-medioli,aecio-neves
parana-pesquisas-2026-03-07,Paraná Pesquisas,2026-03-04,2026-03-07,1350,2.6,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-minas-gerais-marco-2026/,Janeiro – Junho,45.6,18.4,8.7,,,,,6.2,
real-time-big-data-2026-03-12,Real Time Big Data,2026-03-11,2026-03-12,2000,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/real-time-big-data-governador-senador-minas-gerais-marco-2026/,Janeiro – Junho,34,19,9,11,7,,,7,1
datatempo-2026-03-18,DataTempo,2026-03-14,2026-03-18,2030,2.19,https://www.otempo.com.br/eleicoes/2026/pesquisas/2026/3/25/datatempo-cleitinho-e-favorito-em-todos-os-cenarios-de-1-e-2-turnos-para-o-governo-de-minas.amp,Janeiro – Junho,29.6,6,3.6,15.8,,,,3.1,3
modalmais-futura-2026-03-28,Modalmais/Futura,2026-03-24,2026-03-28,1200,2.8,https://www.otempo.com.br/eleicoes/2026/pesquisas/2026/3/26/datatempo-aecio-esta-a-frente-na-disputa-pelo-senado-em-minas-marilia-campos-ocupa-2-posicao,Janeiro – Junho,41.3,11.7,3.1,14,,,,1.3,1.8
atlasintel-2026-03-30,AtlasIntel,2026-03-25,2026-03-30,2195,2,https://www.cartacapital.com.br/politica/a-disputa-pelo-governo-e-pelo-senado-em-minas-segundo-a-nova-pesquisa-atlas/,Janeiro – Junho,32.7,28.6,6.7,11.7,,,,4,3.7
verita-2026-03-30,Veritá,2026-03-24,2026-03-30,2030,2.5,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/futura-inteligencia-governador-senador-minas-gerais-abril-2026/,Janeiro – Junho,50.3,13.1,8.3,14.9,6.6,,,3.2,3.5
genial-quaest-2026-04-26,Genial/Quaest,2026-04-22,2026-04-26,1482,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-senador-minas-gerais-abril-2026/,Janeiro – Junho,30,8,4,14,,,,2,4
doxa-2026-05-03,Doxa,2026-05-01,2026-05-03,1500,2.53,https://www.em.com.br/politica/2026/05/7415565-cleitinho-lidera-nova-pesquisa-para-o-governo-de-minas-kalil-aparece-em-2.html,Janeiro – Junho,28,6,7,21,,,,3,3
real-time-big-data-2026-05-20,Real Time Big Data,2026-05-19,2026-05-20,1600,2,,Janeiro – Junho,35,15,11,14,,,,6,2
datatempo-2026-06-17,DataTempo,2026-06-15,2026-06-17,1000,3.1,https://www.otempo.com.br/eleicoes/2026/governadores/2026/6/25/datatempo-cleitinho-lidera-disputa-em-mg-mas-parcela-de-indecisos-e-alta,Janeiro – Junho,27.7,18.3,4.5,3.7,2.3,,,5.1,
ipan-panorama-2026-06-23,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,,Janeiro – Junho,37.56,11.06,1.25,2.06,2.5,,,,11.69
genial-quaest-2026-07-26,Genial/Quaest,2026-07-22,2026-07-26,1482,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-senador-minas-gerais-julho-2026/,Julho,34,12,4,6,2,10,,,
real-time-big-data-2026-07-29,Real Time Big Data,2026-07-25,2026-07-29,2000,2,https://www.cartacapital.com.br/politica/em-meio-a-indefinicao-sobre-cleitinho-nova-pesquisa-testa-cenarios-para-o-governo-de-mg/,Julho,36,15,7,10,1,14,,,
datatempo-2026-08-10,DataTempo,2026-08-08,2026-08-10,1000,3.1,,Agosto - Outubro,35.5,11,2.1,3.9,1.9,11.1,2.8,,
datafolha-2026-08-20,Datafolha,2026-08-18,2026-08-20,1204,3,,Agosto - Outubro,32,12,4,4,1,12,4,,
verita-2026-08-23,Veritá,2026-08-19,2026-08-23,2030,2.5,,Agosto - Outubro,44.7,12,,,,16.7,,,
genial-quaest-2026-08-24,Genial/Quaest,2026-08-21,2026-08-24,1506,3,https://www.cartacapital.com.br/politica/cleitinho-lidera-disputa-pelo-governo-de-minas-gerais-diz-pesquisa-quaest/,Agosto - Outubro,29,10,5,7,2,11,3,,
real-time-big-data-2026-08-26,Real Time Big Data,2026-08-22,2026-08-26,2000,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/real-time-big-data-governador-senado-minas-gerais-agosto-2026/,Agosto - Outubro,35,13,7,11,3,15,5,,
atlasintel-2026-09-04,AtlasIntel,2026-08-30,2026-09-04,1804,2,https://www.poder360.com.br/poder-eleicoes-2026/cleitinho-lidera-todos-os-cenarios-de-1o-e-2o-turno-em-minas/,Agosto - Outubro,41,9.2,4.7,4,4,30,4,,
genial-quaest-2026-09-07,Genial/Quaest,2026-09-04,2026-09-07,1506,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-senador-minas-gerais-setembro-2026/,Agosto - Outubro,32,11,3,8,2,11,3,,
