id,pollster,start,end,n,moe,source,section,marilia-campos,carlos-viana,domingos-savio,marcelo-aro,aurea-carolina,aecio-neves,euclydes-pettersen,alexandre-silveira,ana-luiza-do-mlb,marco-antonio-superman
parana-pesquisas-2026-03-07,Paraná Pesquisas,2026-03-04,2026-03-07,1350,2.6,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-minas-gerais-marco-2026/,Janeiro - Março,25.7,32.2,9.6,13.8,6.9,26.1,,16.6,,
real-time-big-data-2026-03-12,Real Time Big Data,2026-03-11,2026-03-12,2000,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/real-time-big-data-governador-senador-minas-gerais-marco-2026/,Janeiro - Março,20,13,10,13,,,3,11,,
datatempo-2026-03-18,DataTempo,2026-03-14,2026-03-18,2030,2.19,,Janeiro - Março,13.3,10.2,5.5,4.4,3.9,16.4,,5.6,,
modalmais-futura-2026-03-28,Modalmais/Futura,2026-03-24,2026-03-28,1200,2.8,https://www.otempo.com.br/eleicoes/2026/pesquisas/2026/3/26/datatempo-aecio-esta-a-frente-na-disputa-pelo-senado-em-minas-marilia-campos-ocupa-2-posicao,Janeiro - Março,21.2,31.8,6.4,11.6,8.4,30.1,,10.3,,
atlasintel-2026-03-30,AtlasIntel,2026-03-25,2026-03-30,2195,2,https://www.cartacapital.com.br/politica/a-disputa-pelo-governo-e-pelo-senado-em-minas-segundo-a-nova-pesquisa-atlas/,Janeiro - Março,20.6,18,15.6,9.4,8.1,2.9,,12.5,,
verita-2026-03-30,Veritá,2026-03-24,2026-03-30,2030,2.5,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/futura-inteligencia-governador-senador-minas-gerais-abril-2026/,Janeiro - Março,24.7,32.5,19.4,14.9,,,2.8,16.6,,
genial-quaest-2026-04-26,Genial/Quaest,2026-04-22,2026-04-26,1482,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-senador-minas-gerais-abril-2026/,Abril - Julho,19,10,8,4,6,11,5,,,
doxa-2026-05-03,Doxa,2026-05-01,2026-05-03,1500,2.53,https://www.em.com.br/politica/2026/05/7415565-cleitinho-lidera-nova-pesquisa-para-o-governo-de-minas-kalil-aparece-em-2.html,Abril - Julho,26,22,10,7,8,27,,,,
verita-2026-05-08,Veritá,2026-05-04,2026-05-08,2030,2.5,https://www.instagram.com/p/DYlGIRpl0gp/,Abril - Julho,26.4,28.1,25.5,18.5,,13.3,5,,,
real-time-big-data-2026-05-20,Real Time Big Data,2026-05-19,2026-05-20,1600,2,,Abril - Julho,20,12,7,13,7,12,,,,
datatempo-2026-06-15,DataTempo,2026-06-12,2026-06-15,1000,3.1,,Abril - Julho,16,12.6,8.1,6.1,3.4,16.6,,,,
ipan-panorama-2026-06-23,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,,Abril - Julho,12.13,9.25,10.22,4,3.28,,,,,
genial-quaest-2026-07-26,Genial/Quaest,2026-07-22,2026-07-26,1482,3,,Abril - Julho,18,11,9,10,3,16,1,,,
real-time-big-data-2026-07-29,Real Time Big Data,2026-07-25,2026-07-29,2000,2,,Abril - Julho,21,12,9,14,8,13,5,,,
datafolha-2026-08-20,Datafolha,2026-08-18,2026-08-20,1204,3,,Agosto - Outubro,11,8,6,5,2,,,,4,3
genial-quaest-2026-08-24,Genial/Quaest,2026-08-21,2026-08-24,1506,3,,Agosto - Outubro,15,8,8,6,2,,,,1,2
real-time-big-data-2026-08-26,Real Time Big Data,2026-08-22,2026-08-26,2000,2,https://g1.globo.com/mg/minas-gerais/eleicoes/2026/noticia/2026/04/28/quaest-governo-estado.ghtml,Agosto - Outubro,24,13,13,12,9,,,,1,4
