id,pollster,start,end,n,moe,source,section,sergio-moro,requiao-filho
parana-pesquisas-2026-01-22,Paraná Pesquisas,2026-01-18,2026-01-22,1300,2.8,https://paranapesquisas.com.br/pesquisas/parana-pesquisas-registra-pesquisa-no-estado-do-parana-para-os-cargos-de-governador-e-senador-registro-tse-n-o-pr-08451-2026-janeiro-2026/,2026,55.9,33.4
neokemp-pesquisas-2026-03-20,Neokemp Pesquisas,2026-03-18,2026-03-20,1008,3.1,https://www.tribunapr.com.br/noticias/parana/moro-lidera-todos-os-cenarios-em-nova-pesquisa-pro-governo-do-parana/#google_vignette,2026,56.2,25.3
atlasintel-2026-03-30,AtlasIntel,2026-03-25,2026-03-30,1254,3,https://www.cartacapital.com.br/politica/pesquisa-atlas-aponta-favoritismo-de-moro-no-parana-veja-os-resultados/,2026,58.4,38.7
genial-quaest-2026-04-25,Genial/Quaest,2026-04-21,2026-04-25,1104,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-parana-abril-2026/,2026,49,30
irg-pesquisa-2026-05-20,IRG Pesquisa,2026-05-16,2026-05-20,1000,3.1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/irg-pesquisas-governador-parana-maio-2026/,2026,55.4,31.2
vox-brasil-2026-06-01,Vox Brasil,2026-06-29,2026-06-01,2000,2.2,https://www.poder360.com.br/poder-eleicoes/sergio-moro-lidera-disputa-pelo-governo-do-parana-diz-pesquisa/,2026,51.6,26.8
verita-2026-06-06,Veritá,2026-06-02,2026-06-06,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/relatorio-parana-junho-2026.pdf,2026,61.3,23.6
irg-pesquisa-2026-06-13,IRG Pesquisa,2026-06-10,2026-06-13,1000,3.1,https://www.bemparana.com.br/noticias/politica/pesquis-irg/,2026,54.5,29
genial-quaest-2026-07-25,Genial/Quaest,2026-07-21,2026-07-25,1104,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-parana-julho-2026/,2026,48,29
verita-2026-08-01,Veritá,2026-07-28,2026-08-01,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1785685708802_Relatorio_Parana_Agosto_2026.pdf,2026,60.1,23.4
irg-2026-08-12,IRG,2026-08-08,2026-08-12,1350,2.67,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/irg-governador-parana-agosto-2026/,2026,54.9,29.2
ranking-2026-08-16,Ranking,2026-08-14,2026-08-16,1200,2.83,https://www.bemparana.com.br/publicacao/blogs/martha-feldens/pesquisa-ranking-sandro-alex-cresce-e-reduz-distancia-para-moro/,2026,54.67,29.44
real-time-big-data-2026-08-17,Real Time Big Data,2026-08-13,2026-08-17,1600,2,https://www.cartacapital.com.br/politica/moro-lidera-em-1o-e-2o-turno-no-parana-mostra-pesquisa-real-time-big-data/,2026,55,27
indice-2026-08-19,Índice,2026-08-17,2026-08-19,1200,2.83,https://folhadolitoral.com.br/editorias/politica/pesquisa-indice-inteligencia-mostra-moro-estavel-e-sandro-em-alta-no-parana/,2026,55.22,30.16
alfa-2026-08-22,Alfa,2026-08-18,2026-08-22,1200,2.8,https://www.cartacapital.com.br/politica/moro-lidera-o-1o-turno-no-parana-mas-empata-com-sandro-alex-no-2o-aponta-pesquisa/,2026,55,31
genial-quaest-2026-08-23,Genial/Quaest,2026-08-20,2026-08-23,804,3,https://g1.globo.com/pr/parana/eleicoes/2026/noticia/2026/08/24/quaest-pr-governador-24-agosto.ghtml,2026,51,27
real-time-big-data-2026-08-27,Real Time Big Data,2026-08-24,2026-08-27,1600,2,https://www.cartacapital.com.br/politica/moro-lidera-em-1o-e-2o-turnos-no-parana-indica-real-time-big-data/,2026,54,27
