id,pollster,start,end,n,moe,source,section,sergio-moro,requiao-filho,luiz-franca,sandro-alex,rafael-greca,tony-garcia,tayna-miessa,samuel-de-mattos,adriano-teixeira,alexandre-salomao,guto-silva,alexandre-curi,fernando-giacobo,alvaro-dias
parana-pesquisas-2026-01-22,Paraná Pesquisas,2026-01-18,2026-01-22,1300,2.8,https://paranapesquisas.com.br/pesquisas/parana-pesquisas-registra-pesquisa-no-estado-do-parana-para-os-cargos-de-governador-e-senador-registro-tse-n-o-pr-08451-2026-janeiro-2026/,Janeiro - Março,41.6,19.5,1,,,,,,,,5.7,,,19.7
parana-pesquisas-2026-03-04,Paraná Pesquisas,2026-03-01,2026-03-04,1500,2.6,https://noticias.uol.com.br/politica/ultimas-noticias/2026/03/12/parana-pesquisas-moro-lidera-cenarios-de-1-turno-ao-governo-do-pr.htm,Janeiro - Março,44,23.1,0.9,,,,,,,,4.3,11.3,4.5,
neokemp-pesquisas-2026-03-20,Neokemp Pesquisas,2026-03-18,2026-03-20,1008,3.1,https://www.tribunapr.com.br/noticias/parana/moro-lidera-todos-os-cenarios-em-nova-pesquisa-pro-governo-do-parana/#google_vignette,Janeiro - Março,43.3,17.8,1.6,,10.1,,,,,,7.8,,,
atlasintel-2026-03-30,AtlasIntel,2026-03-25,2026-03-30,1254,3,https://www.cartacapital.com.br/politica/pesquisa-atlas-aponta-favoritismo-de-moro-no-parana-veja-os-resultados/,Janeiro - Março,51.5,28.4,2.9,,8.4,,,,,,5.6,,,
parana-pesquisas-2026-04-12,Paraná Pesquisas,2026-04-10,2026-04-12,1500,2.6,,Abril - Agosto,46.6,17.7,0.7,,19.7,1.5,,,,,3.6,,,
genial-quaest-2026-04-25,Genial/Quaest,2026-04-21,2026-04-25,1104,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-governador-parana-abril-2026/,Abril - Agosto,35,18,1,5,15,1,,,,,,,,
neokemp-pesquisas-2026-04-29,Neokemp Pesquisas,2026-04-27,2026-04-29,1008,3.1,,Abril - Agosto,47.8,19,0.6,8.2,9.4,0.9,,,,,,,,
verita-2026-05-03,Veritá,2026-04-29,2026-05-03,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1778092266523_Relatorio_Parana_Maio_2026.pdf,Abril - Agosto,58.6,20,2.2,9.6,9.8,,,,,,,,,
parana-pesquisas-2026-05-10,Paraná Pesquisas,2026-05-08,2026-05-10,1500,2.6,,Abril - Agosto,42.6,19.7,0.8,8.6,16.3,0.8,,,,,,,,
irg-pesquisa-2026-05-20,IRG Pesquisa,2026-05-16,2026-05-20,1000,3.1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/irg-pesquisas-governador-parana-maio-2026/,Abril - Agosto,39.4,18.1,0.3,12.3,14.7,0.9,,,,,,,,
vox-brasil-2026-06-01,Vox Brasil,2026-06-29,2026-06-01,2000,2.2,https://www.poder360.com.br/poder-eleicoes/sergio-moro-lidera-disputa-pelo-governo-do-parana-diz-pesquisa/,Abril - Agosto,39.6,20.8,0.8,5,17.8,1.8,,,,,,,,
verita-2026-06-06,Veritá,2026-06-02,2026-06-06,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/relatorio-parana-junho-2026.pdf,Abril - Agosto,52.7,17.5,2.9,8.5,9.1,0.3,,,,,,,,
