id,pollster,start,end,n,moe,source,section,filipe-barros,alexandre-curi,cristina-graeml,gleisi-hoffmann,deltan-dallagnol,alvaro-dias,dr-rosinha,karen-guerreiro,joaquim-do-mlb,marcelo-marcelino,ratinho-junior
parana-pesquisas-2026-01-22,Paraná Pesquisas,2026-01-18,2026-01-22,1300,2.8,https://paranapesquisas.com.br/pesquisas/parana-pesquisas-registra-pesquisa-no-estado-do-parana-para-os-cargos-de-governador-e-senador-registro-tse-n-o-pr-08451-2026-janeiro-2026/,Janeiro,23,36.2,26,,,47.5,,,,,
100-cidades-futura-2026-01-27,100% Cidades/Futura,2026-01-24,2026-01-27,800,3.5,,Janeiro,8.4,,10.2,16.9,22.2,20.5,,,,,56.1
parana-pesquisas-2026-03-04,Paraná Pesquisas,2026-03-01,2026-03-04,1500,2.6,https://noticias.uol.com.br/politica/ultimas-noticias/2026/03/12/parana-pesquisas-moro-lidera-cenarios-de-1-turno-ao-governo-do-pr.htm,Fevereiro - Agosto,23.7,33.7,23.1,24.1,,49.6,,,,,
irg-pesquisa-2026-03-18,IRG Pesquisa,2026-03-13,2026-03-18,1000,3.1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/irg-pesquisas-senador-parana-marco-2026/,Fevereiro - Agosto,19.8,25.1,20.7,21.1,31.9,34,,,,,
atlasintel-2026-03-30,AtlasIntel,2026-03-25,2026-03-30,1254,3,https://www.cartacapital.com.br/politica/deltan-filipe-barros-gleisi-a-disputa-pelo-senado-no-parana-segundo-nova-pesquisa-atlas/,Fevereiro - Agosto,18.2,8.3,11.7,16.5,21,6.2,,,,,
parana-pesquisas-2026-04-12,Paraná Pesquisas,2026-04-10,2026-04-12,1500,2.6,,Fevereiro - Agosto,20.9,22.9,15.3,22.5,28.2,44.5,,,,,
genial-quaest-2026-04-25,Genial/Quaest,2026-04-21,2026-04-25,1104,3,,Fevereiro - Agosto,10,10,4,10,13,16,,,,,
neokemp-pesquisas-2026-04-29,Neokemp Pesquisas,2026-04-27,2026-04-29,1008,3.1,,Fevereiro - Agosto,16.6,23.3,21.2,20.9,41.8,35.8,,,,,
verita-2026-05-03,Veritá,2026-04-29,2026-05-03,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1778092266523_Relatorio_Parana_Maio_2026.pdf,Fevereiro - Agosto,23.5,17.3,16.1,22.1,36,26.2,,,,,
parana-pesquisas-2026-05-10,Paraná Pesquisas,2026-05-08,2026-05-10,1500,2.6,,Fevereiro - Agosto,23.6,22.4,14.5,25.2,26.1,39.3,,,,,
irg-pesquisa-2026-05-20,IRG Pesquisa,2026-05-16,2026-05-20,1000,3.1,,Fevereiro - Agosto,19.2,24.7,13.9,23.9,31.2,30.6,,,,,
vox-brasil-2026-06-01,Vox Brasil,2026-06-29,2026-06-01,2000,2.2,,Fevereiro - Agosto,12.8,8.6,6.5,19.1,15.4,40.2,,,,,
verita-2026-06-06,Veritá,2026-06-02,2026-06-06,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/relatorio-parana-junho-2026.pdf,Fevereiro - Agosto,28,16.7,15.6,18.2,35.6,21.1,,,,,
parana-pesquisas-2026-06-09,Paraná Pesquisas,2026-06-07,2026-06-09,1500,2.6,,Fevereiro - Agosto,24.2,23.4,13.1,25.2,28.1,37.7,,,,,
irg-pesquisa-2026-06-13,IRG Pesquisa,2026-06-10,2026-06-13,1000,3.1,,Fevereiro - Agosto,21.1,23.6,15.3,23.6,32.8,33.8,,,,,
parana-pesquisas-2026-07-06,Paraná Pesquisas,2026-07-03,2026-07-06,1500,2.6,,Fevereiro - Agosto,22.9,23.5,,25.9,25.2,39.7,,,,,
neokemp-2026-07-21,Neokemp,2026-07-20,2026-07-21,1008,3.1,,Fevereiro - Agosto,23.4,20.4,19.2,23.5,39.1,32.8,,,,,
genial-quaest-2026-07-25,Genial/Quaest,2026-07-21,2026-07-25,1104,3,,Fevereiro - Agosto,8,10,4,10,10,20,,,,,
irg-2026-07-28,IRG,2026-07-24,2026-07-28,1200,2.83,,Fevereiro - Agosto,23.9,24.3,11.4,24.9,31.4,28.5,,,,,
verita-2026-08-01,Veritá,2026-07-28,2026-08-01,2010,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1785685708802_Relatorio_Parana_Agosto_2026.pdf,Fevereiro - Agosto,23.7,14,16.2,13.8,31.5,18.1,,,,,
indice-2026-08-06,Índice,2026-08-04,2026-08-06,1200,2.83,,Agosto - Outubro,32.6,27.5,13.7,26,31.8,,18.1,0.7,1,1,
irg-2026-08-12,IRG,2026-08-08,2026-08-12,1350,2.67,,Agosto - Outubro,29.2,29.4,14.5,25.2,32.1,,18.2,2.1,0.7,0.3,
parana-pesquisas-2026-08-16,Paraná Pesquisas,2026-08-13,2026-08-16,1520,2.6,https://www.cartacapital.com.br/politica/a-disputa-pelo-governo-e-o-senado-no-parana-segundo-nova-pesquisa/,Agosto - Outubro,26,29.6,17.2,28.1,34,,12.3,1.2,1.5,0.8,
ranking-2026-08-16,Ranking,2026-08-14,2026-08-16,1200,2.83,https://www.bemparana.com.br/publicacao/blogs/martha-feldens/pesquisa-ranking-sandro-alex-cresce-e-reduz-distancia-para-moro/,Agosto - Outubro,31.09,31.08,14.24,25.34,33.34,,17.92,2.33,0.66,0,
real-time-big-data-2026-08-17,Real Time Big Data,2026-08-13,2026-08-17,1600,2,,Agosto - Outubro,17,17,13,15,19,,5,1,1,0,
indice-2026-08-19,Índice,2026-08-17,2026-08-19,1200,2.83,https://folhadolitoral.com.br/editorias/politica/pesquisa-indice-inteligencia-mostra-moro-estavel-e-sandro-em-alta-no-parana/,Agosto - Outubro,28.84,32.31,15.04,26.04,33.43,,17.06,2.04,0.52,0.04,
tmc-instituto-alfa-2026-08-22,TMC/Instituto Alfa,2026-08-18,2026-08-22,1200,2.8,,Agosto - Outubro,21,25,17,28,33,,15,2,3,2,
genial-quaest-2026-08-23,Genial/Quaest,2026-08-20,2026-08-23,804,3,,Agosto - Outubro,9,15,8,11,9,,6,1,0,0,
neokemp-2026-08-27,Neokemp,2026-08-25,2026-08-27,1008,3.1,,Agosto - Outubro,27.3,26.2,25.4,29.3,38.1,,16.2,2.2,1.2,1.3,
real-time-big-data-2026-08-27,Real Time Big Data,2026-08-24,2026-08-27,1600,2,,Agosto - Outubro,17,18,14,15,20,,5,1,0,0,
parana-pesquisas-2026-09-02,Paraná Pesquisas,2026-08-31,2026-09-02,1280,2.8,,Agosto - Outubro,22.9,28.4,14.4,25.7,30.8,,13,0.9,1.3,1.7,
