id,pollster,start,end,n,moe,source,section,lula,flavio
genial-quaest-2026-01-11,Genial/Quaest,2026-01-08,2026-01-11,2004,2,https://g1.globo.com/politica/noticia/2026/01/14/quaest-cenarios-1o-turno-janeiro.ghtml?utm_source=twitter&utm_medium=social&utm_campaign=g1,2026,45,38
meio-ideia-2026-01-12,Meio/Ideia,2026-01-08,2026-01-12,2000,2.2,https://www.cnnbrasil.com.br/blogs/iuri-pitta/eleicoes/meio-ideia-lula-lidera-cenarios-de-1o-turno-e-empata-com-tarcisio-no-2o/,2026,46.2,36
apex-futura-2026-01-19,Apex/Futura,2026-01-15,2026-01-19,2000,2.2,https://www.cnnbrasil.com.br/eleicoes/apex-futura-lula-e-flavio-lideram-cenarios-de-1o-turno/,2026,41.9,48.1
atlasintel-2026-01-20,AtlasIntel,2026-01-15,2026-01-20,5418,1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/pesquisa-atlasintel-presidente-janeiro-2026/,2026,49,45
parana-pesquisas-2026-01-28,Paraná Pesquisas,2026-01-25,2026-01-28,2080,2.2,https://pollplustrend.com/26brpf,2026,44.8,42.2
gerp-2026-02-02,Gerp,2026-01-28,2026-02-02,2000,2.24,https://www.economist.com/interactive/2026-brazil-election-tracker,2026,45,45
meio-ideia-2026-02-02,Meio/Ideia,2026-01-30,2026-02-02,1500,2.5,https://abcdados.com.br/agregador2026/,2026,45.8,41.1
apex-futura-2026-02-07,Apex/Futura,2026-02-03,2026-02-07,2000,2.2,https://planopolitico.com.br/agregador/presidente/,2026,42.4,48.2
genial-quaest-2026-02-09,Genial/Quaest,2026-02-05,2026-02-09,2004,2,https://exame.com/brasil/no-1o-turno-lula-tem-35-e-flavio-bolsonaro-29-diz-genial-quaest/,2026,43,38
atlasintel-2026-02-24,AtlasIntel,2026-02-19,2026-02-24,4986,1,https://exame.com/brasil/no-1o-turno-lula-tem-45-e-flavio-379-diz-atlasintel/,2026,46.2,46.3
parana-pesquisas-2026-02-25,Paraná Pesquisas,2026-02-22,2026-02-25,2080,2.2,https://www.poder360.com.br/poder-eleicoes/lula-e-flavio-empatam-no-1o-turno-diz-parana-pesquisas/,2026,43.8,44.4
real-time-big-data-2026-03-02,Real Time Big Data,2026-02-28,2026-03-02,2000,2,https://www.cnnbrasil.com.br/eleicoes/lula-lidera-cenarios-de-1o-turno-aponta-real-time-big-data/,2026,42,41
vetor-arrow-2026-03-02,Vetor/Arrow,2026-02-27,2026-03-02,9000,1.3,https://agendadopoder.com.br/flavio-bolsonaro-aparece-a-frente-de-lula-e-venceria-com-folga-tambem-no-segundo-turno-aponta-nova-pesquisa/,2026,40.4,49
datafolha-2026-03-05,Datafolha,2026-03-03,2026-03-05,2004,2,https://g1.globo.com/politica/eleicoes/2026/noticia/2026/03/07/datafolha-lula-tem-46percent-e-flavio-bolsonaro-43percent-das-intencoes-de-voto-no-2o-turno-diz-pesquisa.ghtml,2026,46,43
apex-futura-2026-03-06,Apex/Futura,2026-03-02,2026-03-06,2000,2.2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/futura-inteligencia-presidente-marco-2026/,2026,40.5,48.8
genial-quaest-2026-03-09,Genial/Quaest,2026-03-06,2026-03-09,2004,2,https://www.cnnbrasil.com.br/eleicoes/quaest-lula-e-flavio-empatam-em-maioria-de-cenarios-de-1o-turno/,2026,41,41
meio-ideia-2026-03-10,Meio/Ideia,2026-03-06,2026-03-10,1500,2.5,https://www.poder360.com.br/poder-eleicoes/lula-empata-com-flavio-e-tarcisio-no-2o-turno-diz-meio-ideia/,2026,47,45
alfa-2026-03-11,Alfa,2026-03-06,2026-03-11,1000,3.1,https://www.cnnbrasil.com.br/eleicoes/pesquisa-alfa-no-1o-turno-lula-tem-37-flavio-30-e-ratinho-7/?,2026,41,38
atlasintel-2026-03-23,AtlasIntel,2026-03-18,2026-03-23,5028,1,https://www.poder360.com.br/poder-pesquisas/lula-lidera-em-todos-os-cenarios-de-1o-turno-diz-atlasintel/,2026,46.6,47.6
gerp-2026-03-25,Gerp,2026-03-20,2026-03-25,2000,2.24,,2026,45,48
parana-pesquisas-2026-03-28,Paraná Pesquisas,2026-03-25,2026-03-28,2080,2.2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/meio-ideia-pesquisa-presidente-abril-2026/,2026,44.1,45.2
nexus-btg-pactual-2026-03-29,Nexus/BTG Pactual,2026-03-27,2026-03-29,2000,2,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2026/03/30/btgnexus-lula-e-flavio-bolsonaro-empatam-em-46-em-eventual-2-turno-da-corrida-presidencial.htm,2026,46,46
verita-2026-04-04,Veritá,2026-03-13,2026-04-04,40500,1,,2026,38.4,42.8
meio-ideia-2026-04-07,Meio/Ideia,2026-03-03,2026-04-07,1500,2.5,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/meio-ideia-pesquisa-presidente-abril-2026/,2026,45.5,45.8
datafolha-2026-04-09,Datafolha,2026-04-07,2026-04-09,2004,2,https://www1.folha.uol.com.br/poder/2026/04/datafolha-lula-perde-vantagem-e-empata-com-flavio-caiado-e-zema-no-2o-turno.shtml,2026,45,46
apex-futura-2026-04-11,Apex/Futura,2026-04-07,2026-04-11,2000,2.2,https://www.cnnbrasil.com.br/eleicoes/futura-apex-lula-e-flavio-empatam-em-cenarios-de-1o-turno/,2026,42.6,48
cnt-mda-2026-04-12,CNT/MDA,2026-04-08,2026-04-12,2002,2.2,https://www.cartacapital.com.br/politica/lula-lidera-a-disputa-contra-flavio-bolsonaro-no-1o-e-2o-turnos-mostra-pesquisa/,2026,44.9,40.2
