id,pollster,start,end,n,moe,source,section,lula,renan
genial-quaest-2026-01-11,Genial/Quaest,2026-01-08,2026-01-11,2004,2,,2026,46,26
meio-ideia-2026-01-12,Meio/Ideia,2026-01-08,2026-01-12,2000,2.2,https://oglobo.globo.com/blogs/malu-gaspar/post/2025/02/justica-eleitoral-de-sp-condena-pablo-marcal-por-abuso-de-poder-e-o-declara-inelegivel.ghtml?,2026,46.5,23.5
gerp-2026-02-02,Gerp,2026-01-28,2026-02-02,2000,2.24,,2026,47,26
meio-ideia-2026-02-02,Meio/Ideia,2026-01-30,2026-02-02,1500,2.5,,2026,45.5,26
genial-quaest-2026-02-09,Genial/Quaest,2026-02-05,2026-02-09,2004,2,,2026,44,25
real-time-big-data-2026-03-02,Real Time Big Data,2026-02-28,2026-03-02,2000,2,,2026,51,18
genial-quaest-2026-03-09,Genial/Quaest,2026-03-06,2026-03-09,2004,2,https://www.poder360.com.br/poder-pesquisas/lula-tem-376-e-flavio-278-no-1o-turno-diz-parana-pesquisas/,2026,43,24
meio-ideia-2026-03-10,Meio/Ideia,2026-03-06,2026-03-10,1500,2.5,,2026,47,25
meio-ideia-2026-04-07,Meio/Ideia,2026-03-03,2026-04-07,1500,2.5,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/meio-ideia-pesquisa-presidente-abril-2026/,2026,45,26.4
genial-quaest-2026-04-13,Genial/Quaest,2026-04-09,2026-04-13,2004,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-presidente-abril-2026/,2026,44,24
atlasintel-2026-04-27,AtlasIntel,2026-04-22,2026-04-27,5008,1,,2026,47.1,29.5
real-time-big-data-2026-05-04,Real Time Big Data,2026-05-02,2026-05-04,2000,2,https://www.poder360.com.br/poder-eleicoes/lula-empata-com-flavio-e-zema-no-2o-turno-diz-atlasintel/,2026,48,24
genial-quaest-2026-05-11,Genial/Quaest,2026-05-08,2026-05-11,2004,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-presidente-maio-2026/,2026,45,28
vox-brasil-2026-05-12,Vox Brasil,2026-05-09,2026-05-12,2100,2.15,https://www.poder360.com.br/poder-eleicoes/flavio-tem-438-e-lula-402-no-2o-turno-diz-vox/,2026,44.4,26.2
atlasintel-2026-05-18,AtlasIntel,2026-05-13,2026-05-18,5032,1,https://www.poder360.com.br/poder-eleicoes/lula-tem-489-contra-418-de-flavio-no-2o-turno-diz-atlasintel/,2026,47.8,28.4
poderdata-2026-05-28,PoderData,2026-05-25,2026-05-28,2400,2,https://www.cartacapital.com.br/politica/os-numeros-da-primeira-pesquisa-poder-aya-para-a-presidencia/,2026,45,36
real-time-big-data-2026-05-30,Real Time Big Data,2026-05-29,2026-05-30,2000,2,https://www.cartacapital.com.br/politica/a-disputa-pela-presidencia-no-1o-turno-segundo-nova-pesquisa-real-time-big-data-2/,2026,46,30
genial-quaest-2026-06-08,Genial/Quaest,2026-06-05,2026-06-08,2004,2,https://www.poder360.com.br/poder-eleicoes/lula-tem-44-contra-38-de-flavio-diz-quaest/,2026,45,31
alfa-2026-06-10,Alfa,2026-06-05,2026-06-10,1400,2.6,https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/06/450626-NACIONAL-1400E-ELEICAO.pdf,2026,44,26
apex-futura-2026-06-12,Apex/Futura,2026-06-08,2026-06-12,2000,2.2,https://www.poder360.com.br/poder-pesquisas/lula-tem-481-e-flavio-429-em-eventual-2o-turno-diz-pesquisa/,2026,48.3,30.8
nexus-btg-pactual-2026-06-14,Nexus/BTG Pactual,2026-06-12,2026-06-14,2017,2,https://www.poder360.com.br/poder-eleicoes/lula-tem-49-contra-43-de-flavio-no-2o-turno-diz-nexus/,2026,49,36
poderdata-2026-06-24,PoderData,2026-06-21,2026-06-24,2400,2,https://www.cartacapital.com.br/politica/os-numeros-da-nova-pesquisa-poder-aya-para-a-presidencia/,2026,45,38
nexus-btg-pactual-2026-06-28,Nexus/BTG Pactual,2026-06-26,2026-06-28,2009,2,https://www.cnnbrasil.com.br/eleicoes/nexus-lula-e-flavio-tem-empate-tecnico-no-2o-turno-com-47-e-44/,2026,48,36
atlasintel-2026-06-30,AtlasIntel,2026-06-26,2026-06-30,4999,1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/atlasintel-presidente-julho-2026/,2026,49.2,29.8
meio-ideia-2026-07-06,Meio/Ideia,2026-07-03,2026-07-06,2000,2.5,https://www.poder360.com.br/poder-eleicoes/lula-e-flavio-estao-tecnicamente-empatados-no-2o-turno-diz-pesquisa/,2026,45,33
gerp-2026-07-07,Gerp,2026-07-03,2026-07-07,2000,2.2,https://www.poder360.com.br/poder-eleicoes/flavio-tem-45-e-lula-42-em-eventual-2o-turno-diz-pesquisa/,2026,41,30
apex-futura-2026-07-11,Apex/Futura,2026-07-07,2026-07-11,2000,2.2,https://www.poder360.com.br/poder-eleicoes/lula-e-flavio-empatam-no-2o-turno-diz-futura-apex/,2026,46.4,33.1
nexus-btg-pactual-2026-07-12,Nexus/BTG Pactual,2026-07-10,2026-07-12,2003,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/nexus-btg-pactual-presidente-julho-2026/,2026,49,35
genial-quaest-2026-07-13,Genial/Quaest,2026-07-10,2026-07-13,2004,2,https://www.poder360.com.br/poder-eleicoes/lula-tem-45-contra-37-de-flavio-no-2o-turno-diz-quaest/,2026,45,33
gerp-2026-07-17,Gerp,2026-07-15,2026-07-17,2000,2.19,https://www.poder360.com.br/poder-eleicoes-2026/flavio-e-lula-tem-empate-tecnico-no-2o-turno-diz-pesquisa/,2026,45,35
indexa-2026-07-19,Indexa,2026-07-16,2026-07-19,2000,2.2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/indexa-pesquisas-presidente-julho-2026/,2026,47,27
real-time-big-data-2026-07-20,Real Time Big Data,2026-07-18,2026-07-20,2000,2,https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/07/Real-Time-arquivo-comprimido.pdf,2026,44,35
nexus-btg-pactual-2026-07-26,Nexus/BTG Pactual,2026-07-24,2026-07-26,2004,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/nexus-btg-pactual-presidente-julho-2026-2/,2026,47,39
atlasintel-2026-07-27,AtlasIntel,2026-07-22,2026-07-27,5021,1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/atlasintel-presidente-julho-2026-2/,2026,47.6,30.2
alfa-2026-07-28,Alfa,2026-07-23,2026-07-28,2700,1.8,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2026/07/31/lula-lidera-no-1-e-no-2-turno-mostra-pesquisa-que-traz-disputa-mais-apertada-contra-caiado.htm,2026,46,32
