id,pollster,start,end,n,moe,source,section,benedita-da-silva,marcelo-crivella,pedro-paulo,marcio-canella,monica-benicio,helio-secco,waguinho,carlos-portinho,claudio-castro,carlos-jordy,mauro-campos,rodrigo-pimentel,alessandro-molon,rogeria-bolsonaro,otoni-de-paula,clarissa-garotinho,washington-reis
100-cidades-futura-2026-02-02,100% Cidades/Futura,2026-01-29,2026-02-02,1000,3.1,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/pesquisa-100-cidades-futura-governador-senador-rio-de-janeiro-fevereiro-2026/,Janeiro - Maio,23.9,23.6,5.3,15.1,,,,,41.2,,,,9.9,,,,
gerp-2026-03-06,Gerp,2026-03-02,2026-03-06,1200,2.89,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/gerp-governador-senador-rio-de-janeiro-marco-2026/,Janeiro - Maio,27,19,7,10,,,,,33,,,12,14,,,10,10
real-time-big-data-2026-03-10,Real Time Big Data,2026-03-09,2026-03-10,2000,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/real-time-big-data-governador-senador-rio-de-janeiro-marco-2026/,Janeiro - Maio,12,15,,7,,,,,23,,,12,,,6,,
verita-2026-04-04,Veritá,2026-03-29,2026-04-04,2030,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1775653837701_Relatorio_Rio_de_Janeiro_2026.pdf,Janeiro - Maio,54.2,21.2,7.3,18.4,,,,,47.1,,,19.3,,,,,
genial-quaest-2026-04-25,Genial/Quaest,2026-04-21,2026-04-25,1200,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-senador-rio-de-janeiro-abril-2026/,Janeiro - Maio,10,6,1,4,,,,,12,,,,3,,,,
parana-pesquisas-2026-04-26,Paraná Pesquisas,2026-04-21,2026-04-26,1680,2.4,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-rio-de-janeiro-abril-2026/,Janeiro - Maio,30.4,21.5,19.4,17.1,,,,,30.4,,,,,,,,
verita-2026-05-08,Veritá,2026-05-04,2026-05-08,2030,2.5,https://www.instagram.com/institutoverita/p/DYUn7AyjoQU/,Janeiro - Maio,38.6,11.6,5.9,8.8,,,,,32.6,,,8.2,,17.1,,,
parana-pesquisas-2026-06-03,Paraná Pesquisas,2026-06-01,2026-06-03,1680,2.4,,Junho - Julho,34.2,26,20.7,21.3,11,6,,,,10.4,9.1,,,,,,
parana-pesquisas-2026-07-01,Paraná Pesquisas,2026-06-29,2026-07-01,1600,2.5,,Junho - Julho,33,25.9,21.5,21.9,9.9,4.9,,,,12.1,10,,,,,,
prefab-future-2026-07-02,Prefab Future,2026-06-29,2026-07-02,2500,1.96,,Junho - Julho,11.1,8.8,4.5,7.9,1,0.8,4.3,,,,1.5,,,,,,
genial-quaest-2026-07-25,Genial/Quaest,2026-07-21,2026-07-25,1200,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-senador-rio-de-janeiro-julho-2026/,Junho - Julho,11,8,3,4,3,0,3,4,,,,,,,,,
real-time-big-data-2026-07-27,Real Time Big Data,2026-07-23,2026-07-27,2000,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/real-time-big-data-governador-senador-rio-de-janeiro-julho-2026/,Junho - Julho,14,17,13,10,,,7,13,,,,,,,,,
prefab-2026-07-29,Prefab,2026-07-24,2026-07-29,2000,2.19,,Junho - Julho,16.1,10.8,6.9,9.4,3.8,1.1,7.3,3,,,3.1,,,,,,
parana-pesquisas-2026-07-30,Paraná Pesquisas,2026-07-28,2026-07-30,1600,2.5,,Junho - Julho,29.8,25.4,17.2,14.2,7.2,2.6,9.2,9.2,,,5,,,,,,
datafolha-2026-08-21,Datafolha,2026-08-18,2026-08-21,1204,3,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2026/noticia/2026/08/21/datafolha-no-rj-governo-1a-pesquisa.ghtml,Agosto - Outubro,15,6,6,,6,1,3,8,,8,,,,,,,
prefab-future-2026-08-23,Prefab Future,2026-08-20,2026-08-23,2000,2.19,,Agosto - Outubro,15.2,10.1,5.8,,4.1,0.7,4.6,3.8,,5.1,,,,,,,
genial-quaest-2026-08-24,Genial/Quaest,2026-08-21,2026-08-24,1302,3,,Agosto - Outubro,10,6,3,,5,1,2,5,,7,,,,,,,
parana-pesquisas-2026-08-24,Paraná Pesquisas,2026-08-22,2026-08-24,1600,2.5,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senado-rio-de-janeiro-agosto-2026/,Agosto - Outubro,29.6,21,16.4,,5.9,1.9,9.2,10.6,,11.9,,,,,,,
