id,pollster,start,end,n,moe,source,section,manuela-d-avila,marcel-van-hattem,ubiratan-sanderson,germano-rigotto,paulo-pimenta,frederico-antunes,eduardo-leite
modalmais-futura-2026-02-10,Modalmais/Futura,2026-02-09,2026-02-10,800,3.5,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/futura-inteligencia-governador-senador-rio-grande-do-sul-fevereiro-2026/,Janeiro - Março,29.8,28.9,9.9,27.5,23.6,,40.3
real-time-big-data-2026-03-16,Real Time Big Data,2026-03-14,2026-03-16,1500,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/real-time-big-data-governador-senador-rio-grande-do-sul-marco-2026/,Janeiro - Março,16,16,16,11,13,,16
verita-2026-04-04,Veritá,2026-03-29,2026-04-04,2020,2.5,,Abril - Julho,31,32.8,23.4,17.2,21.4,,32.3
modalmais-futura-2026-04-07,Modalmais/Futura,2026-04-01,2026-04-07,800,3.5,,Abril - Julho,36,27.6,10,31.3,24.7,9.1,
brasmarket-2026-04-21,Brasmarket,2026-04-17,2026-04-21,1200,2.8,,Abril - Julho,21,31.5,21.3,16.2,13.4,9.3,
genial-quaest-2026-04-28,Genial/Quaest,2026-04-24,2026-04-28,1104,3,,Abril - Julho,14,9,7,12,9,2,
verita-2026-05-08,Veritá,2026-05-04,2026-05-08,2020,2.5,,Abril - Julho,28.2,40.4,28.8,14.4,21.2,7.7,27.8
brasmarket-2026-06-03,Brasmarket,2026-06-01,2026-06-03,1200,2.84,https://www.portaladesso.com.br/noticias/19702/zucco-e-marcel-van-hattem-lideram-pesquisa-para-o-governo-e-senado-no-rs.html,Abril - Julho,27.6,60.9,31.4,30.8,20.7,11.7,
real-time-big-data-2026-06-22,Real Time Big Data,2026-06-20,2026-06-22,1600,2,https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/06/Rio-Grande-do-Sul-RS-070632026.pdf,Abril - Julho,19,20,17,14,14,4,
brasmarket-2026-07-03,Brasmarket,2026-07-01,2026-07-03,1200,2.84,,Abril - Julho,17.4,35.7,24.1,19.5,13.2,8,
verita-2026-07-11,Veritá,2026-07-07,2026-07-11,2002,2.5,https://www.aplateia.com.br/wp-content/uploads/2026/07/Relatorio-Rio-Grande-do-Sul-Julho-2026.pdf,Abril - Julho,23,23.5,21.5,15.1,19.6,6.4,
parana-pesquisas-2026-07-19,Paraná Pesquisas,2026-07-16,2026-07-19,1500,2.6,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/parana-pesquisas-governador-senador-rio-grande-do-sul-julho-2026/,Abril - Julho,30.7,28.6,20.3,26.3,23.7,7.4,
genial-quaest-2026-07-28,Genial/Quaest,2026-07-24,2026-07-28,1104,3,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/genial-quaest-governador-senador-rio-grande-do-sul-julho-2026/,Abril - Julho,12,7,6,9,9,1,
parana-pesquisas-2026-08-20,Paraná Pesquisas,2026-08-18,2026-08-20,1504,2.6,https://paranapesquisas.com.br/wp-content/uploads/2026/07/RS_Jul26.pdf,Agosto - Outubro,33.6,26.9,16,24.3,22.5,5,
genial-quaest-2026-08-23,Genial/Quaest,2026-08-20,2026-08-23,900,3,,Agosto - Outubro,12,9,8,8,9,1,
real-time-big-data-2026-08-24,Real Time Big Data,2026-08-20,2026-08-24,1600,2,,Agosto - Outubro,19,20,17,15,15,5,
