id,pollster,start,end,n,moe,source,section,tarcisio,haddad
datafolha-2026-03-05,Datafolha,2026-03-03,2026-03-05,1608,2,https://datafolha.folha.uol.com.br/eleicoes/2026/03/tarcisio-de-freitas-republicanos-lidera-todos-os-cenarios-de-intencao-de-voto-para-governador-de-sp.shtml,2026,52,37
real-time-big-data-2026-03-07,Real Time Big Data,2026-03-06,2026-03-07,2000,2,,2026,50,37
atlasintel-2026-03-29,AtlasIntel,2026-03-24,2026-03-29,2200,2,https://veja.abril.com.br/politica/tarcisio-x-haddad-nova-pesquisa-atlasintel-mostra-que-jogo-em-sao-paulo-nao-esta-jogado/,2026,53.5,42.2
vox-brasil-2026-04-25,Vox Brasil,2026-04-22,2026-04-25,1480,2.55,https://www.gazetadopovo.com.br/eleicoes/2026/sao-paulo-2026/vox-brasil-pesquisas-divulga-levantamento-ao-governo-de-sao-paulo/,2026,54.2,34.6
genial-quaest-2026-04-27,Genial/Quaest,2026-04-23,2026-04-27,1650,2,,2026,49,32
parana-pesquisas-2026-05-20,Paraná Pesquisas,2026-05-18,2026-05-20,1640,2.5,https://www.poder360.com.br/poder-eleicoes/tarcisio-lidera-disputa-ao-governo-de-sp-com-473-diz-pesquisa/,2026,52.7,37.6
vox-brasil-2026-05-28,Vox Brasil,2026-05-26,2026-05-28,1480,2.55,https://www.poder360.com.br/poder-eleicoes/tarcisio-tem-483-e-haddad-365-no-2o-turno-em-sp-diz-pesquisa/,2026,48.3,36.5
parana-pesquisas-2026-06-18,Paraná Pesquisas,2026-06-16,2026-06-18,1600,2.5,https://www.cartacapital.com.br/politica/os-numeros-da-disputa-pelo-governo-de-sp-segundo-nova-pesquisa/,2026,51.4,37.9
datafolha-2026-07-03,Datafolha,2026-07-01,2026-07-03,1608,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/07/05/datafolha-tarcisio-e-haddad.ghtml,2026,53,37
genial-quaest-2026-07-27,Genial/Quaest,2026-07-23,2026-07-27,1650,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/07/29/quaest-em-sao-paulo-tarcisio-tem-41percent-haddad-26percent-no-1-turno.ghtml,2026,48,32
parana-pesquisas-2026-07-28,Paraná Pesquisas,2026-07-25,2026-07-28,1680,2.4,https://paranapesquisas.com.br/wp-content/uploads/2026/07/SP_Jul26.pdf,2026,51.8,38.3
vox-brasil-2026-07-31,Vox Brasil,2026-07-29,2026-07-31,1480,2.55,https://www.cnnbrasil.com.br/eleicoes/vox-tarcisio-tem-529-no-1o-turno-da-disputa-em-sp-haddad-343/,2026,53.5,35.8
american-analytics-2026-08-08,American Analytics,2026-08-04,2026-08-08,1500,2.5,https://timesbrasil.com.br/brasil/decisao-2026-pesquisa-american-analytics-times-brasil-cnbc-tarcisio-lidera-em-sp-corrida-ao-senado-esta-disputada-veja-os-numeros/,2026,50,32
ideia-acsp-2026-08-08,Ideia/ACSP,2026-08-05,2026-08-08,1800,2.3,"https://www.terra.com.br/noticias/brasil/politica/pesquisa-ideiaacsp-tarcisio-tem-506-e-haddad-336-no-1-turno-ao-governo-de-sao-paulo,dd1be335d2d18ff2a7d959ac8828146cn57wmw1p.html",2026,53.4,37
vox-brasil-2026-08-13,Vox Brasil,2026-08-11,2026-08-13,1480,2.55,https://ndmais.com.br/politica/a-x-dias-das-eleicoes-tarcisio-lidera-com-537-e-haddad-marca-34-na-corrida-pelo-governo-de-sp/,2026,54.3,35.2
parana-pesquisas-2026-08-18,Paraná Pesquisas,2026-08-17,2026-08-18,1680,2.4,https://www.cartacapital.com.br/politica/pesquisa-indica-vitoria-de-tarcisio-em-primeiro-turno-em-sp/,2026,55,36.9
datafolha-2026-08-21,Datafolha,2026-08-18,2026-08-21,1610,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/08/21/datafolha-sp-governador-21-agosto.ghtml,2026,54,35
real-time-big-data-2026-08-22,Real Time Big Data,2026-08-19,2026-08-22,2000,2,https://www.cartacapital.com.br/politica/tarcisio-tem-17-pontos-de-vantagem-na-disputa-com-haddad-mostra-pesquisa/,2026,54,36
genial-quaest-2026-08-24,Genial/Quaest,2026-08-19,2026-08-24,1800,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/08/25/quaest-em-sp-tarcisio-40percent-haddad-27percent.ghtml,2026,47,30
gerp-2026-08-24,Gerp,2026-08-19,2026-08-24,1800,2.3,https://www.poder360.com.br/poder-eleicoes-2026/tarcisio-de-freitas-lidera-disputa-pelo-governo-de-sp-diz-gerp/,2026,55,36
atlasintel-2026-08-31,AtlasIntel,2026-08-26,2026-08-31,1810,1,https://cdn1.atlasintel.org/pesquisa_atlas_estadao__eleicoes_sao_paulo_2026__260901_d7bd2dffe42f5965.pdf,2026,53.2,42.6
vox-brasil-2026-08-31,Vox Brasil,2026-08-29,2026-08-31,1480,2.55,https://www.poder360.com.br/poder-eleicoes-2026/marina-andre-e-tebet-empatam-na-disputa-ao-senado-em-sp-diz-vox/,2026,57.1,36.3
