id,pollster,start,end,n,moe,source,section,tarcisio,haddad,vera,carlos,vivian,izadora,policial
datafolha-2026-07-03,Datafolha,2026-07-01,2026-07-03,1608,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/07/05/datafolha-tarcisio-e-haddad.ghtml,Julho - Agosto,46,30,5,4,4,,
verita-2026-07-05,Veritá,2026-07-01,2026-07-05,2000,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1783453106475_Relatorio_Sao_Paulo_07.2026.pdf,Julho - Agosto,51,34.5,,,,,
genial-quaest-2026-07-27,Genial/Quaest,2026-07-23,2026-07-27,1650,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/07/29/quaest-em-sao-paulo-tarcisio-tem-41percent-haddad-26percent-no-1-turno.ghtml,Julho - Agosto,41,26,3,1,1,,
parana-pesquisas-2026-07-28,Paraná Pesquisas,2026-07-25,2026-07-28,1680,2.4,https://paranapesquisas.com.br/wp-content/uploads/2026/07/SP_Jul26.pdf,Julho - Agosto,48.5,35.1,1.7,1.1,0.9,,
vox-brasil-2026-07-31,Vox Brasil,2026-07-29,2026-07-31,1480,2.55,https://www.cnnbrasil.com.br/eleicoes/vox-tarcisio-tem-529-no-1o-turno-da-disputa-em-sp-haddad-343/,Julho - Agosto,52.9,34.3,1.3,1.5,0.5,0.3,
american-analytics-2026-08-08,American Analytics,2026-08-04,2026-08-08,1500,2.5,https://timesbrasil.com.br/brasil/decisao-2026-pesquisa-american-analytics-times-brasil-cnbc-tarcisio-lidera-em-sp-corrida-ao-senado-esta-disputada-veja-os-numeros/,Julho - Agosto,46,29,1,,,,
ideia-acsp-2026-08-08,Ideia/ACSP,2026-08-05,2026-08-08,1800,2.3,"https://www.terra.com.br/noticias/brasil/politica/pesquisa-ideiaacsp-tarcisio-tem-506-e-haddad-336-no-1-turno-ao-governo-de-sao-paulo,dd1be335d2d18ff2a7d959ac8828146cn57wmw1p.html",Julho - Agosto,50.6,33.6,2.6,1,0.8,0.1,
vox-brasil-2026-08-13,Vox Brasil,2026-08-11,2026-08-13,1480,2.55,https://ndmais.com.br/politica/a-x-dias-das-eleicoes-tarcisio-lidera-com-537-e-haddad-marca-34-na-corrida-pelo-governo-de-sp/,Julho - Agosto,53.7,34,0.5,1.3,0.3,0.3,
parana-pesquisas-2026-08-18,Paraná Pesquisas,2026-08-17,2026-08-18,1680,2.4,https://www.cartacapital.com.br/politica/pesquisa-indica-vitoria-de-tarcisio-em-primeiro-turno-em-sp/,Julho - Agosto,50,33.8,1.5,0.8,0.8,0.4,0.4
datafolha-2026-08-21,Datafolha,2026-08-18,2026-08-21,1610,2,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/08/21/datafolha-sp-governador-21-agosto.ghtml,Julho - Agosto,45,27,4,3,2,1,3
