id,pollster,start,end,n,moe,source,section,simone,marina,andre,guilherme,ricardo,soninha,maira,marcio,geraldo,dr,weller,petter,ednelson,william,guto
datafolha-2026-07-03,Datafolha,2026-07-01,2026-07-03,1608,2,,Julho - Agosto,16,18,11,10,13,,,,,,,,,,
verita-2026-07-05,Veritá,2026-07-01,2026-07-05,2000,2.5,https://lgjdbpskgjfbmlffbntx.supabase.co/storage/v1/object/public/pesquisas/pdfs/1783453106475_Relatorio_Sao_Paulo_07.2026.pdf,Julho - Agosto,24.5,25.6,27,26,8.8,,,,,,,,,,
genial-quaest-2026-07-27,Genial/Quaest,2026-07-23,2026-07-27,1650,2,,Julho - Agosto,12,14,5,7,4,,,,,,,,,,
parana-pesquisas-2026-07-28,Paraná Pesquisas,2026-07-25,2026-07-28,1680,2.4,https://paranapesquisas.com.br/wp-content/uploads/2026/07/SP_Jul26.pdf,Julho - Agosto,30.7,31,13.5,24.8,19.2,4.8,1.5,1.4,,,,,,,
vox-brasil-2026-07-31,Vox Brasil,2026-07-29,2026-07-31,1480,2.55,,Julho - Agosto,27.1,28.5,19.3,19,23.3,7.3,2,1.8,,,,,,,
american-analytics-2026-08-08,American Analytics,2026-08-04,2026-08-08,1500,2.5,https://timesbrasil.com.br/brasil/decisao-2026-pesquisa-american-analytics-times-brasil-cnbc-tarcisio-lidera-em-sp-corrida-ao-senado-esta-disputada-veja-os-numeros/,Julho - Agosto,27,23,11,18,13,2,,,3,,,,,,
ideia-acsp-2026-08-08,Ideia/ACSP,2026-08-05,2026-08-08,1800,2.3,,Julho - Agosto,26.8,23.3,19,19.4,16.4,2.9,1.1,0.8,2.7,1.7,1.3,0.7,,,
vox-brasil-2026-08-13,Vox Brasil,2026-08-11,2026-08-13,1480,2.55,https://ndmais.com.br/politica/a-x-dias-das-eleicoes-tarcisio-lidera-com-537-e-haddad-marca-34-na-corrida-pelo-governo-de-sp/,Julho - Agosto,26.1,26.1,21.5,17,19.3,4.5,2.7,1.6,2.9,2.1,1.9,0.4,0.1,,
parana-pesquisas-2026-08-18,Paraná Pesquisas,2026-08-17,2026-08-18,1680,2.4,,Julho - Agosto,31.1,30.1,16.8,28.2,19.7,5.8,1.6,1.4,2.8,1.2,1.1,1.2,1.1,,
datafolha-2026-08-21,Datafolha,2026-08-18,2026-08-21,1610,2,,Julho - Agosto,12,12,10,7,6,3,2,3,4,3,0,1,1,1,
real-time-big-data-2026-08-22,Real Time Big Data,2026-08-19,2026-08-22,2000,2,,Julho - Agosto,17,14,15,18,10,3,2,2,2,2,2,2,2,2,2
verita-2026-08-23,Veritá,2026-08-19,2026-08-23,3025,2,,Julho - Agosto,16.9,21.1,25.7,25,5.4,0.6,2.1,0.4,1.2,3.9,0.1,0.2,1.4,0.1,3.9
genial-quaest-2026-08-24,Genial/Quaest,2026-08-19,2026-08-24,1800,2,,Julho - Agosto,11,12,7,12,4,2,1,1,2,1,0,0,0,1,1
vox-brasil-2026-08-31,Vox Brasil,2026-08-29,2026-08-31,1480,2.55,,Julho - Agosto,25.3,27.7,26.5,18.1,17.5,4.9,2.3,1.1,1.9,1.5,2.1,0.2,0.1,0.3,0.3
modalmais-futura-2026-09-04,Modalmais/Futura,2026-09-02,2026-09-04,1600,2.4,,Setembro - Outubro,32.7,34.9,14.6,26.1,9.5,1.1,1,0.9,2.2,2.1,0.4,0.3,0.7,0.8,1.5
genial-quaest-2026-09-07,Genial/Quaest,2026-09-04,2026-09-07,1800,2,,Setembro - Outubro,12,14,7,14,3,1,1,0,1,1,0,0,0,0,1
datafolha-2026-09-10,Datafolha,2026-09-08,2026-09-10,1610,2,,Setembro - Outubro,13,13,11,10,5,2,2,2,3,2,0,0,1,2,3
parana-pesquisas-2026-09-10,Paraná Pesquisas,2026-09-07,2026-09-10,1680,2.4,,Setembro - Outubro,29.5,30.4,19.3,28.9,16.4,5.4,1.5,1.3,3.2,1.3,1.1,1,0.7,0.4,0.2
real-time-big-data-2026-09-12,Real Time Big Data,2026-09-09,2026-09-12,2000,2,,Setembro - Outubro,17,13,17,19,10,3,2,2,2,2,2,2,2,2,2
verita-2026-09-12,Veritá,2026-09-07,2026-09-12,3025,2,,Setembro - Outubro,26.2,31.4,40.7,41.9,7.9,0.5,2,0.6,1.9,3.6,0.2,0.3,1.1,0.1,4.3
real-time-big-data-2026-09-19,Real Time Big Data,2026-09-16,2026-09-19,2000,2,https://static.poder360.com.br/uploads/2026/09/real-time-big-data-SP-21set2026.pdf,Setembro - Outubro,17,14,18,20,9,3,2,2,2,2,2,2,2,2,2
verita-2026-09-19,Veritá,2026-09-14,2026-09-19,3025,2,,Setembro - Outubro,29.5,31.7,42.3,43.3,7,,,,,,,,,,
parana-pesquisas-2026-09-21,Paraná Pesquisas,2026-09-19,2026-09-21,1600,2.5,,Setembro - Outubro,29.6,28.3,25,29.3,10.6,3.5,1.8,1.1,5.4,2,0.6,0.4,0.7,0.8,1.2
